; matrix-scan  -v 1 -quick -seq_format fasta -i $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/data/sequences/peak-motifs_test_maxlen1000.fasta -matrix_format transfac -m $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3.tf -pseudo 1 -2str -decimals 1 -bg_pseudo 0.01 -n score -lth score -5 -bginput -markov 1 -return distrib -return occ_proba -o $RSAT/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_scan_mkv1_enrichment.tab
; Quick counting mode          
; Input files
;	input	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/data/sequences/peak-motifs_test_maxlen1000.fasta
; Matrix files
;	matrix 1	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3.tf
; Sequence format      	fasta
; Output files
;	output	/vh/rsat/rsat/public_html/tmp/apache/2014/09/06/peak-motifs.2014-09-06.011249_2014-09-06.011249_H1RYPN/results/discovered_motifs/dyads_m3/peak-motifs_dyads_m3_scan_mkv1_enrichment.tab
; Pseudo counts        	1
; Background model
;	Method        	input
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.29011
;		c	0.21156
;		g	0.20757
;		t	0.29076
; Thresholds	lower	upper
;	score 	-5   	NA
;
; Matrices
;	matrix	name    	ncol	nrow	pseudo	Wmin	Wmax	Wrange
;	1	dyads_m3	11	4	1	-25.200	12.000	37.200	a:0.290 c:0.212 g:0.208 t:0.291 
;
; Score distribution
#matrix	score	occ	occ_cum	inv_cum	inv_cum_freq	occ_prior	exp_occ	occ_Pval	occ_Eval	occ_sig	occ_sig_rank
dyads_m3	-1.6	23	19361	477	2.404597e-02	2.495199e-02	494.97	7.992032e-01	9.750279e+01	-1.99	35
dyads_m3	-1.5	17	19378	460	2.318899e-02	2.349300e-02	466.03	6.176720e-01	7.535598e+01	-1.88	36
dyads_m3	-1.4	20	19398	440	2.218077e-02	2.229869e-02	442.34	5.513190e-01	6.726092e+01	-1.83	37
dyads_m3	-1.3	22	19420	418	2.107173e-02	2.095366e-02	415.66	4.605029e-01	5.618135e+01	-1.75	38
dyads_m3	-1.2	22	19442	396	1.996270e-02	1.988116e-02	394.38	4.741063e-01	5.784097e+01	-1.76	39
dyads_m3	-1.1	13	19455	383	1.930735e-02	1.877840e-02	372.51	2.984832e-01	3.641495e+01	-1.56	40
dyads_m3	-1.0	14	19469	369	1.860160e-02	1.767018e-02	350.52	1.661723e-01	2.027302e+01	-1.31	41
dyads_m3	-0.9	12	19481	357	1.799667e-02	1.683434e-02	333.94	1.074339e-01	1.310694e+01	-1.12	42
dyads_m3	-0.8	10	19491	347	1.749256e-02	1.598930e-02	317.18	5.004530e-02	6.105526e+00	-0.79	43
dyads_m3	-0.7	12	19503	335	1.688763e-02	1.511666e-02	299.87	2.341079e-02	2.856116e+00	-0.46	44
dyads_m3	-0.6	11	19514	324	1.633311e-02	1.436493e-02	284.96	1.188311e-02	1.449739e+00	-0.16	45
dyads_m3	-0.5	10	19524	314	1.582901e-02	1.372389e-02	272.24	6.783267e-03	8.275585e-01	0.08	46
dyads_m3	-0.4	5	19529	309	1.557695e-02	1.307572e-02	259.38	1.390514e-03	1.696427e-01	0.77	47
dyads_m3	-0.3	18	19547	291	1.466956e-02	1.263211e-02	250.58	6.471510e-03	7.895243e-01	0.10	48
dyads_m3	-0.2	10	19557	281	1.416545e-02	1.212782e-02	240.58	5.646044e-03	6.888174e-01	0.16	49
dyads_m3	-0.1	8	19565	273	1.376216e-02	1.163569e-02	230.82	3.532664e-03	4.309850e-01	0.37	50
dyads_m3	0.0	8	19573	265	1.335887e-02	1.118470e-02	221.87	2.521936e-03	3.076762e-01	0.51	51
dyads_m3	0.1	8	19581	257	1.295559e-02	1.073965e-02	213.04	1.799009e-03	2.194791e-01	0.66	52
dyads_m3	0.2	7	19588	250	1.260271e-02	1.032698e-02	204.86	1.171446e-03	1.429164e-01	0.84	53
dyads_m3	0.3	10	19598	240	1.209860e-02	9.962677e-03	197.63	1.817018e-03	2.216762e-01	0.65	54
dyads_m3	0.4	11	19609	229	1.154408e-02	9.619093e-03	190.81	3.789946e-03	4.623734e-01	0.34	55
dyads_m3	0.5	11	19620	218	1.098956e-02	9.330549e-03	185.09	9.626111e-03	1.174386e+00	-0.07	56
dyads_m3	0.6	7	19627	211	1.063669e-02	8.911412e-03	176.78	6.470788e-03	7.894362e-01	0.10	57
dyads_m3	0.7	4	19631	207	1.043505e-02	8.611464e-03	170.83	3.834426e-03	4.678000e-01	0.33	58
dyads_m3	0.8	4	19635	203	1.023340e-02	8.279519e-03	164.24	1.837918e-03	2.242260e-01	0.65	59
dyads_m3	0.9	9	19644	194	9.779705e-03	7.921385e-03	157.14	2.377172e-03	2.900150e-01	0.54	60
dyads_m3	1.0	8	19652	186	9.376418e-03	7.617733e-03	151.11	3.222523e-03	3.931478e-01	0.41	61
dyads_m3	1.1	6	19658	180	9.073953e-03	7.287877e-03	144.57	2.380212e-03	2.903858e-01	0.54	62
dyads_m3	1.2	8	19666	172	8.670666e-03	6.917802e-03	137.23	2.262105e-03	2.759768e-01	0.56	63
dyads_m3	1.3	6	19672	166	8.368201e-03	6.582391e-03	130.57	1.549225e-03	1.890055e-01	0.72	64
dyads_m3	1.4	5	19677	161	8.116147e-03	6.239161e-03	123.77	7.338500e-04	8.952970e-02	1.05	65
dyads_m3	1.5	12	19689	149	7.511216e-03	5.902349e-03	117.08	2.479048e-03	3.024439e-01	0.52	66
dyads_m3	1.6	11	19700	138	6.956697e-03	5.622769e-03	111.54	8.348508e-03	1.018518e+00	-0.01	67
dyads_m3	1.7	4	19704	134	6.755054e-03	5.233851e-03	103.82	2.465155e-03	3.007489e-01	0.52	68
dyads_m3	1.8	1	19705	133	6.704643e-03	4.953432e-03	98.26	4.785197e-04	5.837941e-02	1.23	69
dyads_m3	1.9	4	19709	129	6.502999e-03	4.607169e-03	91.39	1.160561e-04	1.415885e-02	1.85	70
dyads_m3	2.0	4	19713	125	6.301356e-03	4.301886e-03	85.34	3.282066e-05	4.004121e-03	2.40	71
dyads_m3	2.1	5	19718	120	6.049302e-03	3.987451e-03	79.10	1.080010e-05	1.317612e-03	2.88	72
dyads_m3	2.2	7	19725	113	5.696426e-03	3.688960e-03	73.18	9.185695e-06	1.120655e-03	2.95	73
dyads_m3	2.3	7	19732	106	5.343550e-03	3.413700e-03	67.72	9.859722e-06	1.202886e-03	2.92	74
dyads_m3	2.4	7	19739	99	4.990674e-03	3.206920e-03	63.62	2.335567e-05	2.849392e-03	2.55	75
dyads_m3	2.5	3	19742	96	4.839441e-03	2.958198e-03	58.68	4.713361e-06	5.750301e-04	3.24	76
dyads_m3	2.6	2	19744	94	4.738620e-03	2.728482e-03	54.12	5.473370e-07	6.677511e-05	4.18	77
dyads_m3	2.8	3	19747	91	4.587387e-03	2.336620e-03	46.35	4.252297e-09	5.187802e-07	6.29	78
dyads_m3	2.9	5	19752	86	4.335333e-03	2.174476e-03	43.14	5.631205e-09	6.870070e-07	6.16	79
dyads_m3	3.0	3	19755	83	4.184100e-03	2.027599e-03	40.22	2.316806e-09	2.826503e-07	6.55	80
dyads_m3	3.1	7	19762	76	3.831224e-03	1.877487e-03	37.24	1.644187e-08	2.005908e-06	5.70	81
dyads_m3	3.2	4	19766	72	3.629581e-03	1.768795e-03	35.09	3.095112e-08	3.776037e-06	5.42	82
dyads_m3	3.3	1	19767	71	3.579170e-03	1.642066e-03	32.57	3.792509e-09	4.626861e-07	6.33	83
dyads_m3	3.4	3	19770	68	3.427938e-03	1.567537e-03	31.10	7.008547e-09	8.550427e-07	6.07	84
dyads_m3	3.6	5	19775	63	3.175883e-03	1.405169e-03	27.87	7.519387e-09	9.173652e-07	6.04	85
dyads_m3	3.7	3	19778	60	3.024651e-03	1.333653e-03	26.46	1.486883e-08	1.813997e-06	5.74	86
dyads_m3	3.8	3	19781	57	2.873418e-03	1.261184e-03	25.02	2.868233e-08	3.499245e-06	5.46	87
dyads_m3	3.9	2	19783	55	2.772597e-03	1.200453e-03	23.81	3.202749e-08	3.907354e-06	5.41	88
dyads_m3	4.1	5	19788	50	2.520542e-03	1.098125e-03	21.78	1.555462e-07	1.897664e-05	4.72	89
dyads_m3	4.2	1	19789	49	2.470132e-03	1.055652e-03	20.94	1.183686e-07	1.444096e-05	4.84	90
dyads_m3	4.3	1	19790	48	2.419721e-03	9.964213e-04	19.77	5.469081e-08	6.672279e-06	5.18	91
dyads_m3	4.4	1	19791	47	2.369310e-03	9.623142e-04	19.09	5.038732e-08	6.147253e-06	5.21	92
dyads_m3	4.5	1	19792	46	2.318899e-03	9.108275e-04	18.07	2.688506e-08	3.279977e-06	5.48	93
dyads_m3	4.6	4	19796	42	2.117256e-03	8.683026e-04	17.22	3.173541e-07	3.871720e-05	4.41	94
dyads_m3	4.8	1	19797	41	2.066845e-03	7.874233e-04	15.62	6.677749e-08	8.146854e-06	5.09	95
dyads_m3	4.9	2	19799	39	1.966023e-03	7.394342e-04	14.67	9.942068e-08	1.212932e-05	4.92	96
dyads_m3	5.0	1	19800	38	1.915612e-03	7.018979e-04	13.92	7.577092e-08	9.244052e-06	5.03	97
dyads_m3	5.1	3	19803	35	1.764380e-03	6.596711e-04	13.09	3.786653e-07	4.619717e-05	4.34	98
dyads_m3	5.2	1	19804	34	1.713969e-03	6.243127e-04	12.38	3.093672e-07	3.774280e-05	4.42	99
dyads_m3	5.3	1	19805	33	1.663558e-03	5.691481e-04	11.29	1.160248e-07	1.415502e-05	4.85	100
dyads_m3	5.4	1	19806	32	1.613147e-03	5.209619e-04	10.33	5.062409e-08	6.176139e-06	5.21	101
dyads_m3	5.5	2	19808	30	1.512325e-03	4.865228e-04	9.65	1.194691e-07	1.457523e-05	4.84	102
dyads_m3	5.6	3	19811	27	1.361093e-03	4.432867e-04	8.79	6.218302e-07	7.586329e-05	4.12	103
dyads_m3	5.7	2	19813	25	1.260271e-03	4.164305e-04	8.26	2.028046e-06	2.474216e-04	3.61	104
dyads_m3	5.9	2	19815	23	1.159450e-03	3.393066e-04	6.73	7.040585e-07	8.589514e-05	4.07	105
dyads_m3	6.0	1	19816	22	1.109039e-03	3.018178e-04	5.99	3.750252e-07	4.575308e-05	4.34	106
dyads_m3	6.1	2	19818	20	1.008217e-03	2.650345e-04	5.26	7.361395e-07	8.980902e-05	4.05	107
dyads_m3	6.3	2	19820	18	9.073953e-04	2.186409e-04	4.34	7.737401e-07	9.439629e-05	4.03	108
dyads_m3	6.5	2	19822	16	8.065736e-04	1.742034e-04	3.46	7.775248e-07	9.485802e-05	4.02	109
dyads_m3	6.7	1	19823	15	7.561627e-04	1.399395e-04	2.78	2.566312e-07	3.130900e-05	4.50	110
dyads_m3	7.1	1	19824	14	7.057519e-04	9.331297e-05	1.85	1.134290e-08	1.383833e-06	5.86	111
dyads_m3	7.3	1	19825	13	6.553410e-04	7.900786e-05	1.57	1.293473e-08	1.578038e-06	5.80	112
dyads_m3	7.5	2	19827	11	5.545193e-04	6.757563e-05	1.34	1.847602e-07	2.254074e-05	4.65	113
dyads_m3	7.6	1	19828	10	5.041085e-04	6.359585e-05	1.26	8.973652e-07	1.094786e-04	3.96	114
dyads_m3	8.2	1	19829	9	4.536976e-04	4.490540e-05	0.89	4.373798e-07	5.336034e-05	4.27	115
dyads_m3	8.5	1	19830	8	4.032868e-04	3.665643e-05	0.73	1.017295e-06	1.241100e-04	3.91	116
dyads_m3	8.6	1	19831	7	3.528759e-04	3.577786e-05	0.71	9.694131e-06	1.182684e-03	2.93	117
dyads_m3	9.5	1	19832	6	3.024651e-04	1.486547e-05	0.29	7.092857e-07	8.653285e-05	4.06	118
dyads_m3	10.0	2	19834	4	2.016434e-04	6.901380e-06	0.14	1.311774e-05	1.600364e-03	2.80	119
