#weight	occ	cum	dcum	dCDF
-20.3	167382	29502251	12258879	0.294729
-20.2	161771	29664022	12091497	0.290705
-20.1	157375	29821397	11929726	0.286815
-20	152848	29974245	11772351	0.283032
-19.9	146950	30121195	11619503	0.279357
-19.8	142307	30263502	11472553	0.275824
-19.7	137943	30401445	11330246	0.272403
-19.6	134067	30535512	11192303	0.269086
-19.5	129014	30664526	11058236	0.265863
-19.4	124788	30789314	10929222	0.262761
-19.3	121243	30910557	10804434	0.259761
-19.2	117717	31028274	10683191	0.256846
-19.1	115920	31144194	10565474	0.254016
-19	113494	31257688	10449554	0.251229
-18.9	111983	31369671	10336060	 0.2485
-18.8	108429	31478100	10224077	0.245808
-18.7	107687	31585787	10115648	0.243201
-18.6	107148	31692935	10007961	0.240612
-18.5	106079	31799014	9900813	0.238036
-18.4	105369	31904383	9794734	0.235486
-18.3	105748	32010131	9689365	0.232952
-18.2	104960	32115091	9583617	0.23041
-18.1	106723	32221814	9478657	0.227887
-18	107200	32329014	9371934	0.225321
-17.9	108145	32437159	9264734	0.222743
-17.8	109150	32546309	9156589	0.220143
-17.7	109832	32656141	9047439	0.217519
-17.6	111900	32768041	8937607	0.214879
-17.5	112356	32880397	8825707	0.212188
-17.4	114066	32994463	8713351	0.209487
-17.3	114553	33109016	8599285	0.206745
-17.2	115830	33224846	8484732	0.203991
-17.1	117544	33342390	8368902	0.201206
-17	117141	33459531	8251358	0.19838
-16.9	118412	33577943	8134217	0.195563
-16.8	119792	33697735	8015805	0.192717
-16.7	119343	33817078	7896013	0.189837
-16.6	119193	33936271	7776670	0.186967
-16.5	119960	34056231	7657477	0.184102
-16.4	120005	34176236	7537517	0.181218
-16.3	119542	34295778	7417512	0.178332
-16.2	119295	34415073	7297970	0.175458
-16.1	119548	34534621	7178675	0.17259
-16	119545	34654166	7059127	0.169716
-15.9	119028	34773194	6939582	0.166842
-15.8	118736	34891930	6820554	0.16398
-15.7	118428	35010358	6701818	0.161126
-15.6	118292	35128650	6583390	0.158278
-15.5	117990	35246640	6465098	0.155434
-15.4	117026	35363666	6347108	0.152598
-15.3	117289	35480955	6230082	0.149784
-15.2	116207	35597162	6112793	0.146964
-15.1	115966	35713128	5996586	0.14417
-15	115958	35829086	5880620	0.141382
-14.9	115370	35944456	5764662	0.138594
-14.8	115350	36059806	5649292	0.135821
-14.7	114658	36174464	5533942	0.133047
-14.6	114378	36288842	5419284	0.130291
-14.5	113689	36402531	5304906	0.127541
-14.4	113344	36515875	5191217	0.124808
-14.3	112175	36628050	5077873	0.122083
-14.2	111884	36739934	4965698	0.119386
-14.1	110864	36850798	4853814	0.116696
-14	108251	36959049	4742950	0.11403
-13.9	106737	37065786	4634699	0.111428
-13.8	106473	37172259	4527962	0.108862
-13.7	102969	37275228	4421489	0.106302
-13.6	100949	37376177	4318520	0.103826
-13.5	97192	37473369	4217571	0.101399
-13.4	131990	37605359	4120379	0.0990625
-13.3	92829	37698188	3988389	0.0958891
-13.2	88680	37786868	3895560	0.0936573
-13.1	86855	37873723	3806880	0.0915253
-13	82025	37955748	3720025	0.0894371
-12.9	77890	38033638	3638000	0.0874651
-12.8	74527	38108165	3560110	0.0855924
-12.7	70891	38179056	3485583	0.0838006
-12.6	68285	38247341	3414692	0.0820963
-12.5	64417	38311758	3346407	0.0804546
-12.4	62555	38374313	3281990	0.0789058
-12.3	59186	38433499	3219435	0.0774019
-12.2	55770	38489269	3160249	0.0759789
-12.1	53649	38542918	3104479	0.0746381
-12	51503	38594421	3050830	0.0733483
-11.9	49156	38643577	2999327	0.07211
-11.8	47829	38691406	2950171	0.0709282
-11.7	45371	38736777	2902342	0.0697783
-11.6	44071	38780848	2856971	0.0686875
-11.5	44148	38824996	2812900	0.067628
-11.4	41343	38866339	2768752	0.0665665
-11.3	41006	38907345	2727409	0.0655726
-11.2	40179	38947524	2686403	0.0645867
-11.1	39572	38987096	2646224	0.0636207
-11	38905	39026001	2606652	0.0626693
-10.9	38298	39064299	2567747	0.061734
-10.8	38883	39103182	2529449	0.0608132
-10.7	38545	39141727	2490566	0.0598784
-10.6	38309	39180036	2452021	0.0589517
-10.5	38839	39218875	2413712	0.0580306
-10.4	38510	39257385	2374873	0.0570969
-10.3	39399	39296784	2336363	0.056171
-10.2	39322	39336106	2296964	0.0552238
-10.1	39786	39375892	2257642	0.0542784
-10	39882	39415774	2217856	0.0533219
-9.9	40328	39456102	2177974	0.052363
-9.8	40443	39496545	2137646	0.0513934
-9.7	40773	39537318	2097203	0.0504211
-9.6	41314	39578632	2056430	0.0494408
-9.5	40961	39619593	2015116	0.0484476
-9.4	40990	39660583	1974155	0.0474628
-9.3	40576	39701159	1933165	0.0464773
-9.2	40823	39741982	1892589	0.0455018
-9.1	40585	39782567	1851766	0.0445203
-9	40629	39823196	1811181	0.0435445
-8.9	40564	39863760	1770552	0.0425677
-8.8	39793	39903553	1729988	0.0415925
-8.7	40017	39943570	1690195	0.0406358
-8.6	40008	39983578	1650178	0.0396737
-8.5	39324	40022902	1610170	0.0387118
-8.4	38978	40061880	1570846	0.0377664
-8.3	38961	40100841	1531868	0.0368293
-8.2	38512	40139353	1492907	0.0358926
-8.1	38055	40177408	1454395	0.0349667
-8	38077	40215485	1416340	0.0340518
-7.9	37424	40252909	1378263	0.0331363
-7.8	37053	40289962	1340839	0.0322366
-7.7	36974	40326936	1303786	0.0313457
-7.6	36432	40363368	1266812	0.0304568
-7.5	36218	40399586	1230380	0.0295809
-7.4	35398	40434984	1194162	0.0287101
-7.3	35353	40470337	1158764	0.0278591
-7.2	34775	40505112	1123411	0.0270091
-7.1	34287	40539399	1088636	0.0261731
-7	34291	40573690	1054349	0.0253487
-6.9	33448	40607138	1020058	0.0245243
-6.8	33017	40640155	986610	0.0237202
-6.7	32630	40672785	953593	0.0229264
-6.6	31760	40704545	920963	0.0221419
-6.5	31578	40736123	889203	0.0213783
-6.4	29751	40765874	857625	0.0206191
-6.3	29268	40795142	827874	0.0199038
-6.2	28114	40823256	798606	0.0192001
-6.1	27255	40850511	770492	0.0185242
-6	26219	40876730	743237	0.017869
-5.9	24985	40901715	717018	0.0172386
-5.8	24210	40925925	692033	0.0166379
-5.7	22885	40948810	667823	0.0160559
-5.6	22355	40971165	644938	0.0155056
-5.5	20198	40991363	622583	0.0149682
-5.4	19507	41010870	602385	0.0144826
-5.3	18406	41029276	582878	0.0140136
-5.2	16912	41046188	564472	0.0135711
-5.1	15901	41062089	547560	0.0131645
-5	14918	41077007	531659	0.0127822
-4.9	13708	41090715	516741	0.0124235
-4.8	13540	41104255	503033	0.012094
-4.7	12040	41116295	489493	0.0117684
-4.6	11579	41127874	477453	0.011479
-4.5	10702	41138576	465874	0.0112006
-4.4	9919	41148495	455172	0.0109433
-4.3	9631	41158126	445253	0.0107048
-4.2	9130	41167256	435622	0.0104733
-4.1	8678	41175934	426492	0.0102538
-4	8564	41184498	417814	0.0100451
-3.9	8235	41192733	409250	0.00983922
-3.8	7833	41200566	401015	0.00964123
-3.7	7647	41208213	393182	0.00945291
-3.6	7687	41215900	385535	0.00926906
-3.5	7514	41223414	377848	0.00908425
-3.4	7387	41230801	370334	0.0089036
-3.3	7231	41238032	362947	0.008726
-3.2	7015	41245047	355716	0.00855215
-3.1	7174	41252221	348701	0.0083835
-3	7276	41259497	341527	0.00821102
-2.9	7083	41266580	334251	0.00803609
-2.8	7286	41273866	327168	0.0078658
-2.7	7285	41281151	319882	0.00769063
-2.6	7327	41288478	312597	0.00751548
-2.5	7209	41295687	305270	0.00733932
-2.4	7236	41302923	298061	0.007166
-2.3	7070	41309993	290825	0.00699204
-2.2	7255	41317248	283755	0.00682206
-2.1	7335	41324583	276500	0.00664763
-2	7261	41331844	269165	0.00647129
-1.9	7174	41339018	261904	0.00629672
-1.8	7153	41346171	254730	0.00612424
-1.7	7198	41353369	247577	0.00595226
-1.6	6797	41360166	240379	0.00577921
-1.5	6956	41367122	233582	0.0056158
-1.4	6819	41373941	226626	0.00544856
-1.3	6818	41380759	219807	0.00528462
-1.2	6764	41387523	212989	0.0051207
-1.1	6675	41394198	206225	0.00495808
-1	6750	41400948	199550	0.0047976
-0.9	6656	41407604	192800	0.00463531
-0.8	6662	41414266	186144	0.00447529
-0.7	6402	41420668	179482	0.00431512
-0.6	6335	41427003	173080	0.0041612
-0.5	6258	41433261	166745	0.0040089
-0.4	6202	41439463	160487	0.00385844
-0.3	6082	41445545	154285	0.00370933
-0.2	5884	41451429	148203	0.00356311
-0.1	5828	41457257	142319	0.00342164
0	5852	41463109	136491	0.00328153
0.1	5667	41468776	130639	0.00314083
0.2	5621	41474397	124972	0.00300459
0.3	5461	41479858	119351	0.00286945
0.4	5313	41485171	113890	0.00273815
0.5	5163	41490334	108577	0.00261042
0.6	5136	41495470	103414	0.00248629
0.7	5164	41500634	98278	0.00236281
0.8	4739	41505373	93114	0.00223865
0.9	4597	41509970	88375	0.00212472
1	4477	41514447	83778	0.0020142
1.1	4241	41518688	79301	0.00190656
1.2	4119	41522807	75060	0.0018046
1.3	3780	41526587	70941	0.00170557
1.4	3562	41530149	67161	0.00161469
1.5	3480	41533629	63599	0.00152905
1.6	3278	41536907	60119	0.00144539
1.7	3626	41540533	56841	0.00136658
1.8	2903	41543436	53215	0.0012794
1.9	2612	41546048	50312	0.0012096
2	2467	41548515	47700	0.00114681
2.1	2323	41550838	45233	0.0010875
2.2	2152	41552990	42910	0.00103165
2.3	1955	41554945	40758	0.000979907
2.4	1815	41556760	38803	0.000932905
2.5	1670	41558430	36988	0.000889268
2.6	1490	41559920	35318	0.000849118
2.7	1359	41561279	33828	0.000813295
2.8	1276	41562555	32469	0.000780622
2.9	1113	41563668	31193	0.000749944
3	1082	41564750	30080	0.000723186
3.1	933	41565683	28998	0.000697172
3.2	905	41566588	28065	0.000674741
3.3	849	41567437	27160	0.000652983
3.4	697	41568134	26311	0.000632571
3.5	724	41568858	25614	0.000615814
3.6	649	41569507	24890	0.000598407
3.7	656	41570163	24241	0.000582804
3.8	636	41570799	23585	0.000567032
3.9	638	41571437	22949	0.000551742
4	601	41572038	22311	0.000536403
4.1	580	41572618	21710	0.000521953
4.2	544	41573162	21130	0.000508009
4.3	532	41573694	20586	0.00049493
4.4	516	41574210	20054	0.00048214
4.5	503	41574713	19538	0.000469734
4.6	525	41575238	19035	0.000457641
4.7	539	41575777	18510	0.000445019
4.8	462	41576239	17971	0.00043206
4.9	538	41576777	17509	0.000420953
5	544	41577321	16971	0.000408018
5.1	510	41577831	16427	0.000394939
5.2	527	41578358	15917	0.000382678
5.3	493	41578851	15390	0.000370008
5.4	481	41579332	14897	0.000358155
5.5	481	41579813	14416	0.000346591
5.6	454	41580267	13935	0.000335026
5.7	434	41580701	13481	0.000324111
5.8	485	41581186	13047	0.000313677
5.9	504	41581690	12562	0.000302017
6	491	41582181	12058	0.000289899
6.1	468	41582649	11567	0.000278095
6.2	501	41583150	11099	0.000266843
6.3	450	41583600	10598	0.000254798
6.4	434	41584034	10148	0.000243979
6.5	422	41584456	9714	0.000233545
6.6	406	41584862	9292	0.000223399
6.7	375	41585237	8886	0.000213638
6.8	406	41585643	8511	0.000204622
6.9	388	41586031	8105	0.000194861
7	439	41586470	7717	0.000185533
7.1	400	41586870	7278	0.000174978
7.2	346	41587216	6878	0.000165361
7.3	381	41587597	6532	0.000157043
7.4	357	41587954	6151	0.000147883
7.5	354	41588308	5794	0.0001393
7.6	378	41588686	5440	0.000130789
