#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-49.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-49.1	1.0e+00	<NULL>	<NULL>	<NULL>	      1
-40.8	9.8e-01	1.00000	1.00000	0.978405	0.975737
-40.7	9.8e-01	1.00000	1.00000	0.977796	0.975082
-40.6	9.8e-01	1.00000	1.00000	0.977167	0.974396
-40.5	9.8e-01	1.00000	1.00000	0.976532	0.97371
-40.4	9.8e-01	1.00000	1.00000	0.975881	0.973018
-40.3	9.7e-01	1.00000	1.00000	0.97521	0.972319
-40.2	9.7e-01	1.00000	1.00000	0.974518	0.971603
-40.1	9.7e-01	1.00000	1.00000	0.973789	0.97085
-40	9.7e-01	1.00000	1.00000	0.973061	0.970083
-39.9	9.7e-01	1.00000	1.00000	0.972307	0.969293
-39.8	9.7e-01	1.00000	1.00000	0.971516	0.968468
-39.7	9.7e-01	1.00000	1.00000	0.970702	0.967617
-39.6	9.7e-01	1.00000	1.00000	0.969868	0.966723
-39.5	9.7e-01	1.00000	1.00000	0.96899	0.965817
-39.4	9.7e-01	1.00000	1.00000	0.968081	0.964866
-39.3	9.7e-01	1.00000	1.00000	0.967132	0.96387
-39.2	9.7e-01	1.00000	1.00000	0.966158	0.962846
-39.1	9.6e-01	1.00000	1.00000	0.965138	0.961784
-39	9.6e-01	1.00000	1.00000	0.964082	0.96067
-38.9	9.6e-01	1.00000	1.00000	0.962981	0.959518
-38.8	9.6e-01	1.00000	1.00000	0.96185	0.958305
-38.7	9.6e-01	1.00000	1.00000	0.960694	0.957041
-38.6	9.6e-01	1.00000	1.00000	0.959449	0.955756
-38.5	9.6e-01	1.00000	1.00000	0.958188	0.954392
-38.4	9.6e-01	1.00000	1.00000	0.956888	0.952999
-38.3	9.5e-01	1.00000	1.00000	0.955548	0.951561
-38.2	9.5e-01	1.00000	1.00000	0.95418	0.950069
-38.1	9.5e-01	1.00000	1.00000	0.952766	0.948524
-38	9.5e-01	1.00000	1.00000	0.951318	0.946934
-37.9	9.5e-01	1.00000	1.00000	0.949824	0.945296
-37.8	9.5e-01	1.00000	1.00000	0.948293	0.943589
-37.7	9.5e-01	1.00000	1.00000	0.946701	0.941851
-37.6	9.4e-01	1.00000	1.00000	0.945085	0.94008
-37.5	9.4e-01	1.00000	1.00000	0.943416	0.938256
-37.4	9.4e-01	1.00000	1.00000	0.941716	0.936376
-37.3	9.4e-01	1.00000	1.00000	0.939974	0.934447
-37.2	9.4e-01	1.00000	1.00000	0.938186	0.932478
-37.1	9.3e-01	1.00000	1.00000	0.936343	0.930457
-37	9.3e-01	1.00000	1.00000	0.934465	0.928382
-36.9	9.3e-01	1.00000	1.00000	0.932545	0.926263
-36.8	9.3e-01	1.00000	1.00000	0.930543	0.92411
-36.7	9.3e-01	1.00000	1.00000	0.928526	0.921893
-36.6	9.2e-01	1.00000	1.00000	0.926448	0.91964
-36.5	9.2e-01	1.00000	1.00000	0.924344	0.91733
-36.4	9.2e-01	1.00000	1.00000	0.922208	0.914988
-36.3	9.2e-01	1.00000	1.00000	0.920002	0.912616
-36.2	9.2e-01	1.00000	1.00000	0.917785	0.910202
-36.1	9.1e-01	1.00000	1.00000	0.915503	0.907743
-36	9.1e-01	1.00000	1.00000	0.913195	0.905241
-35.9	9.1e-01	1.00000	1.00000	0.910853	0.90271
-35.8	9.1e-01	1.00000	1.00000	0.908483	0.900156
-35.7	9.0e-01	1.00000	1.00000	0.906076	0.897562
-35.6	9.0e-01	1.00000	1.00000	0.903637	0.894949
-35.5	9.0e-01	1.00000	1.00000	0.901157	0.892326
-35.4	9.0e-01	1.00000	1.00000	0.898679	0.889686
-35.3	8.9e-01	1.00000	1.00000	0.896154	0.887051
-35.2	8.9e-01	1.00000	1.00000	0.893597	0.884412
-35.1	8.9e-01	1.00000	1.00000	0.891054	0.881772
-35	8.8e-01	1.00000	1.00000	0.888498	0.879137
-34.9	8.8e-01	1.00000	1.00000	0.885928	0.876487
-34.8	8.8e-01	1.00000	1.00000	0.883344	0.873877
-34.7	8.8e-01	1.00000	1.00000	0.880778	0.871273
-34.6	8.7e-01	1.00000	1.00000	0.878204	0.868667
-34.5	8.7e-01	1.00000	1.00000	0.875648	0.866081
-34.4	8.7e-01	1.00000	1.00000	0.873051	0.86352
-34.3	8.7e-01	1.00000	1.00000	0.870478	0.860998
-34.2	8.6e-01	1.00000	1.00000	0.86791	0.858496
-34.1	8.6e-01	1.00000	1.00000	0.865335	0.856009
-34	8.6e-01	1.00000	1.00000	0.86275	0.853534
-33.9	8.5e-01	1.00000	1.00000	0.860167	0.851078
-33.8	8.5e-01	1.00000	1.00000	0.857597	0.848632
-33.7	8.5e-01	1.00000	1.00000	0.855002	 0.8462
-33.6	8.5e-01	1.00000	1.00000	0.852424	0.843772
-33.5	8.4e-01	1.00000	1.00000	0.848937	0.841366
-33.4	8.4e-01	1.00000	1.00000	0.846292	0.83806
-33.3	8.4e-01	1.00000	1.00000	0.843633	0.835661
-33.2	8.3e-01	1.00000	1.00000	0.840994	0.833204
-33.1	8.3e-01	1.00000	1.00000	0.838318	0.83075
-33	8.3e-01	1.00000	1.00000	0.8355	0.828267
-32.9	8.3e-01	1.00000	1.00000	0.832764	0.825759
-32.8	8.2e-01	1.00000	1.00000	0.830007	0.823223
-32.7	8.2e-01	1.00000	1.00000	0.827203	0.82063
-32.6	8.2e-01	1.00000	1.00000	0.824322	0.81797
-32.5	8.1e-01	1.00000	1.00000	0.821378	0.815276
-32.4	8.1e-01	1.00000	1.00000	0.818382	0.812535
-32.3	8.1e-01	1.00000	1.00000	0.815306	0.80975
-32.2	8.0e-01	1.00000	1.00000	0.812187	0.806888
-32.1	8.0e-01	1.00000	1.00000	0.809018	0.803951
-32	8.0e-01	1.00000	1.00000	0.805754	0.800962
