; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do798plusdo735_mmus_hnf6_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do798plusdo735_mmus_hnf6_liver_meme_top_m1_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do798plusdo735_mmus_hnf6_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do798plusdo735_mmus_hnf6_liver_meme_top_m1_theor_score_distrib.tab
; Input files
;	bgfile	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do798plusdo735_mmus_hnf6_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do798plusdo735_mmus_hnf6_liver_meme_top_m1_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26457
;		c	0.23303
;		g	0.23983
;		t	0.26257
;
; Matrix: matrix-quality_2014-09-05
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-43.6	4.0e-04	6.1e-03	9.9e-01	-0.006	-0.002	0.002
-43.5	4.7e-04	6.6e-03	9.9e-01	-0.006	-0.003	0.003
-43.4	4.4e-04	7.0e-03	9.9e-01	-0.007	-0.003	0.003
-43.3	4.1e-04	7.4e-03	9.9e-01	-0.007	-0.003	0.003
-43.2	4.7e-04	7.9e-03	9.9e-01	-0.007	-0.003	0.003
-43.1	4.9e-04	8.4e-03	9.9e-01	-0.008	-0.003	0.003
-43.0	5.6e-04	9.0e-03	9.9e-01	-0.008	-0.004	0.004
-42.9	5.2e-04	9.5e-03	9.9e-01	-0.009	-0.004	0.004
-42.8	5.4e-04	1.0e-02	9.9e-01	-0.010	-0.004	0.004
-42.7	5.0e-04	1.1e-02	9.9e-01	-0.010	-0.004	0.004
-42.6	5.7e-04	1.1e-02	9.9e-01	-0.011	-0.005	0.005
-42.5	6.4e-04	1.2e-02	9.9e-01	-0.011	-0.005	0.005
-42.4	5.9e-04	1.2e-02	9.9e-01	-0.012	-0.005	0.005
-42.3	5.4e-04	1.3e-02	9.9e-01	-0.012	-0.005	0.005
-42.2	6.1e-04	1.3e-02	9.9e-01	-0.013	-0.006	0.006
-42.1	6.2e-04	1.4e-02	9.9e-01	-0.014	-0.006	0.006
-42.0	6.9e-04	1.5e-02	9.9e-01	-0.014	-0.006	0.006
-41.9	6.3e-04	1.5e-02	9.9e-01	-0.015	-0.006	0.006
-41.8	6.4e-04	1.6e-02	9.8e-01	-0.015	-0.007	0.007
-41.7	5.7e-04	1.7e-02	9.8e-01	-0.016	-0.007	0.007
-41.6	6.5e-04	1.7e-02	9.8e-01	-0.017	-0.007	0.007
-41.5	7.1e-04	1.8e-02	9.8e-01	-0.017	-0.008	0.008
-41.4	6.5e-04	1.9e-02	9.8e-01	-0.018	-0.008	0.008
-41.3	5.9e-04	1.9e-02	9.8e-01	-0.019	-0.008	0.008
-41.2	6.6e-04	2.0e-02	9.8e-01	-0.019	-0.008	0.008
-41.1	6.6e-04	2.1e-02	9.8e-01	-0.020	-0.009	0.009
-41.0	7.3e-04	2.1e-02	9.8e-01	-0.021	-0.009	0.009
-40.9	6.7e-04	2.2e-02	9.8e-01	-0.021	-0.009	0.009
-40.8	6.7e-04	2.3e-02	9.8e-01	-0.022	-0.01	0.010
-40.7	6.1e-04	2.3e-02	9.8e-01	-0.023	-0.01	0.010
-40.6	6.9e-04	2.4e-02	9.8e-01	-0.023	-0.01	0.010
-40.5	7.8e-04	2.5e-02	9.8e-01	-0.024	-0.011	0.011
-40.4	7.2e-04	2.5e-02	9.8e-01	-0.025	-0.011	0.011
-40.3	6.6e-04	2.6e-02	9.7e-01	-0.026	-0.011	0.011
-40.2	7.5e-04	2.7e-02	9.7e-01	-0.026	-0.011	0.011
-40.1	7.7e-04	2.8e-02	9.7e-01	-0.027	-0.012	0.012
-40.0	8.7e-04	2.8e-02	9.7e-01	-0.028	-0.012	0.012
-39.9	8.2e-04	2.9e-02	9.7e-01	-0.029	-0.013	0.013
-39.8	8.4e-04	3.0e-02	9.7e-01	-0.030	-0.013	0.013
-39.7	7.8e-04	3.1e-02	9.7e-01	-0.031	-0.013	0.013
-39.6	9.0e-04	3.2e-02	9.7e-01	-0.031	-0.014	0.014
-39.5	1.0e-03	3.3e-02	9.7e-01	-0.032	-0.014	0.014
-39.4	9.7e-04	3.4e-02	9.7e-01	-0.033	-0.014	0.014
-39.3	9.1e-04	3.5e-02	9.7e-01	-0.034	-0.015	0.015
-39.2	1.0e-03	3.6e-02	9.7e-01	-0.035	-0.015	0.015
-39.1	1.1e-03	3.7e-02	9.6e-01	-0.036	-0.016	0.016
-39.0	1.2e-03	3.8e-02	9.6e-01	-0.038	-0.016	0.016
-38.9	1.2e-03	3.9e-02	9.6e-01	-0.039	-0.017	0.017
-38.8	1.2e-03	4.0e-02	9.6e-01	-0.040	-0.017	0.017
-38.7	1.1e-03	4.2e-02	9.6e-01	-0.041	-0.018	0.018
-38.6	1.3e-03	4.3e-02	9.6e-01	-0.042	-0.018	0.018
-38.5	1.5e-03	4.4e-02	9.6e-01	-0.044	-0.019	0.019
-38.4	1.4e-03	4.6e-02	9.6e-01	-0.045	-0.02	0.020
-38.3	1.3e-03	4.7e-02	9.5e-01	-0.047	-0.02	0.020
-38.2	1.5e-03	4.8e-02	9.5e-01	-0.048	-0.021	0.021
-38.1	1.5e-03	5.0e-02	9.5e-01	-0.050	-0.022	0.022
-38.0	1.7e-03	5.2e-02	9.5e-01	-0.051	-0.022	0.022
-37.9	1.6e-03	5.3e-02	9.5e-01	-0.053	-0.023	0.023
-37.8	1.6e-03	5.5e-02	9.5e-01	-0.055	-0.024	0.024
-37.7	1.5e-03	5.6e-02	9.5e-01	-0.056	-0.024	0.024
-37.6	1.7e-03	5.8e-02	9.4e-01	-0.058	-0.025	0.025
-37.5	1.9e-03	6.0e-02	9.4e-01	-0.060	-0.026	0.026
-37.4	1.8e-03	6.2e-02	9.4e-01	-0.062	-0.027	0.027
-37.3	1.6e-03	6.3e-02	9.4e-01	-0.064	-0.028	0.028
-37.2	1.9e-03	6.5e-02	9.4e-01	-0.065	-0.028	0.028
-37.1	1.9e-03	6.7e-02	9.3e-01	-0.067	-0.029	0.029
-37.0	2.2e-03	6.9e-02	9.3e-01	-0.070	-0.03	0.030
-36.9	2.0e-03	7.1e-02	9.3e-01	-0.072	-0.031	0.031
-36.8	2.1e-03	7.3e-02	9.3e-01	-0.074	-0.032	0.032
-36.7	1.9e-03	7.5e-02	9.3e-01	-0.076	-0.033	0.033
