#score	occ	co	cco	dCDF
-16.5	68740	16434293	4706885	0.222641
-16.4	67718	16502011	4639167	0.219437
-16.3	67923	16569934	4571244	0.216225
-16.2	67135	16637069	4504109	0.213049
-16.1	66433	16703502	4437676	0.209907
-16	66953	16770455	4370723	0.20674
-15.9	69453	16839908	4301270	0.203455
-15.8	69039	16908947	4232231	0.200189
-15.7	69551	16978498	4162680	0.196899
-15.6	68460	17046958	4094220	0.193661
-15.5	70509	17117467	4023711	0.190326
-15.4	71721	17189188	3951990	0.186933
-15.3	69306	17258494	3882684	0.183655
-15.2	66758	17325252	3815926	0.180497
-15.1	63044	17388296	3752882	0.177515
-15	63685	17451981	3689197	0.174503
-14.9	60987	17512968	3628210	0.171618
-14.8	62702	17575670	3565508	0.168652
-14.7	62141	17637811	3503367	0.165713
-14.6	60759	17698570	3442608	0.162839
-14.5	58047	17756617	3384561	0.160093
-14.4	58517	17815134	3326044	0.157325
-14.3	57799	17872933	3268245	0.154591
-14.2	57199	17930132	3211046	0.151886
-14.1	55679	17985811	3155367	0.149252
-14	55104	18040915	3100263	0.146646
-13.9	49723	18090638	3050540	0.144294
-13.8	51534	18142172	2999006	0.141856
-13.7	50304	18192476	2948702	0.139477
-13.6	49815	18242291	2898887	0.13712
-13.5	47286	18289577	2851601	0.134884
-13.4	47577	18337154	2804024	0.132633
-13.3	46635	18383789	2757389	0.130427
-13.2	48815	18432604	2708574	0.128118
-13.1	47456	18480060	2661118	0.125874
-13	44904	18524964	2616214	0.12375
-12.9	42499	18567463	2573715	0.121739
-12.8	43355	18610818	2530360	0.119689
-12.7	41677	18652495	2488683	0.117717
-12.6	42202	18694697	2446481	0.115721
-12.5	39182	18733879	2407299	0.113868
-12.4	39279	18773158	2368020	0.11201
-12.3	38681	18811839	2329339	0.11018
-12.2	38607	18850446	2290732	0.108354
-12.1	37797	18888243	2252935	0.106566
-12	37089	18925332	2215846	0.104812
-11.9	35588	18960920	2180258	0.103129
-11.8	33951	18994871	2146307	0.101523
-11.7	34391	19029262	2111916	0.0998959
-11.6	33915	19063177	2078001	0.0982916
-11.5	33476	19096653	2044525	0.0967082
-11.4	31608	19128261	2012917	0.0952131
-11.3	30890	19159151	1982027	0.093752
-11.2	29165	19188316	1952862	0.0923724
-11.1	31004	19219320	1921858	0.0909059
-11	30546	19249866	1891312	0.0894611
-10.9	29865	19279731	1861447	0.0880484
-10.8	29752	19309483	1831695	0.0866411
-10.7	29512	19338995	1802183	0.0852452
-10.6	28784	19367779	1773399	0.0838836
-10.5	30401	19398180	1742998	0.0824456
-10.4	28577	19426757	1714421	0.0810939
-10.3	29294	19456051	1685127	0.0797083
-10.2	28337	19484388	1656790	0.0783679
-10.1	28261	19512649	1628529	0.0770311
-10	28827	19541476	1599702	0.0756676
-9.9	27378	19568854	1572324	0.0743726
-9.8	27713	19596567	1544611	0.0730617
-9.7	28915	19625482	1515696	0.071694
-9.6	28308	19653790	1487388	0.070355
-9.5	30085	19683875	1457303	0.068932
-9.4	28621	19712496	1428682	0.0675782
-9.3	28849	19741345	1399833	0.0662136
-9.2	29920	19771265	1369913	0.0647983
-9.1	28153	19799418	1341760	0.0634667
-9	29006	19828424	1312754	0.0620946
-8.9	28812	19857236	1283942	0.0607318
-8.8	27496	19884732	1256446	0.0594312
-8.7	27755	19912487	1228691	0.0581184
-8.6	26695	19939182	1201996	0.0568557
-8.5	27958	19967140	1174038	0.0555332
-8.4	27937	19995077	1146101	0.0542118
-8.3	26975	20022052	1119126	0.0529358
-8.2	55034	20077086	1064092	0.0503327
-8.1	28085	20105171	1036007	0.0490042
-8	29157	20134328	1006850	0.0476251
-7.9	26772	20161100	980078	0.0463587
-7.8	25799	20186899	954279	0.0451384
-7.7	24026	20210925	930253	0.0440019
-7.6	21610	20232535	908643	0.0429798
-7.5	22987	20255522	885656	0.0418925
-7.4	21698	20277220	863958	0.0408661
-7.3	22719	20299939	841239	0.0397915
-7.2	21487	20321426	819752	0.0387751
-7.1	20640	20342066	799112	0.0377988
-7	21732	20363798	777380	0.0367709
-6.9	19488	20383286	757892	0.0358491
-6.8	19749	20403035	738143	0.0349149
-6.7	18545	20421580	719598	0.0340377
-6.6	18036	20439616	701562	0.0331846
-6.5	16379	20455995	685183	0.0324099
-6.4	17675	20473670	667508	0.0315738
-6.3	16073	20489743	651435	0.0308136
-6.2	15426	20505169	636009	0.0300839
-6.1	15036	20520205	620973	0.0293727
-6	15274	20535479	605699	0.0286502
-5.9	15183	20550662	590516	0.027932
-5.8	14845	20565507	575671	0.0272298
-5.7	14611	20580118	561060	0.0265387
-5.6	13346	20593464	547714	0.0259074
-5.5	13464	20606928	534250	0.0252706
-5.4	12819	20619747	521431	0.0246642
-5.3	11404	20631151	510027	0.0241248
-5.2	12481	20643632	497546	0.0235345
-5.1	11618	20655250	485928	0.0229849
-5	11050	20666300	474878	0.0224622
-4.9	10522	20676822	464356	0.0219645
-4.8	10254	20687076	454102	0.0214795
-4.7	9687	20696763	444415	0.0210213
-4.6	10341	20707104	434074	0.0205322
-4.5	9619	20716723	424455	0.0200772
-4.4	9245	20725968	415210	0.0196399
-4.3	8722	20734690	406488	0.0192273
-4.2	8099	20742789	398389	0.0188442
-4.1	7744	20750533	390645	0.0184779
-4	7656	20758189	382989	0.0181158
-3.9	7798	20765987	375191	0.0177469
-3.8	7617	20773604	367574	0.0173866
-3.7	7766	20781370	359808	0.0170193
-3.6	6919	20788289	352889	0.016692
-3.5	7115	20795404	345774	0.0163555
-3.4	7410	20802814	338364	0.016005
-3.3	7607	20810421	330757	0.0156452
-3.2	6864	20817285	323893	0.0153205
-3.1	6952	20824237	316941	0.0149916
-3	6610	20830847	310331	0.014679
-2.9	6934	20837781	303397	0.014351
-2.8	6622	20844403	296775	0.0140378
-2.7	7562	20851965	289213	0.0136801
-2.6	6216	20858181	282997	0.0133861
-2.5	6271	20864452	276726	0.0130894
-2.4	7090	20871542	269636	0.0127541
-2.3	6711	20878253	262925	0.0124366
-2.2	6211	20884464	256714	0.0121428
-2.1	6532	20890996	250182	0.0118339
-2	5967	20896963	244215	0.0115516
-1.9	6953	20903916	237262	0.0112227
-1.8	9409	20913325	227853	0.0107777
-1.7	6510	20919835	221343	0.0104698
-1.6	6158	20925993	215185	0.0101785
-1.5	5919	20931912	209266	0.0098985
-1.4	6184	20938096	203082	0.00960599
-1.3	5994	20944090	197088	0.00932247
-1.2	6163	20950253	190925	0.00903095
-1.1	6176	20956429	184749	0.00873882
-1	5542	20961971	179207	0.00847668
-0.9	5865	20967836	173342	0.00819926
-0.8	5967	20973803	167375	0.00791701
-0.7	5807	20979610	161568	0.00764234
-0.6	5846	20985456	155722	0.00736581
-0.5	6353	20991809	149369	0.00706531
-0.4	5894	20997703	143475	0.00678652
-0.3	4964	21002667	138511	0.00655172
-0.2	5391	21008058	133120	0.00629672
-0.1	4139	21012197	128981	0.00610094
0	4409	21016606	124572	0.00589239
0.1	4639	21021245	119933	0.00567296
0.2	3773	21025018	116160	0.00549449
0.3	3639	21028657	112521	0.00532236
0.4	3766	21032423	108755	0.00514423
0.5	4090	21036513	104665	0.00495076
0.6	3919	21040432	100746	0.00476539
0.7	4348	21044780	96398	0.00455973
0.8	2948	21047728	93450	0.00442028
0.9	3002	21050730	90448	0.00427829
1	3030	21053760	87418	0.00413496
1.1	2679	21056439	84739	0.00400824
1.2	2956	21059395	81783	0.00386842
1.3	2616	21062011	79167	0.00374468
1.4	2621	21064632	76546	0.00362071
1.5	2484	21067116	74062	0.00350321
1.6	2500	21069616	71562	0.00338496
1.7	2455	21072071	69107	0.00326883
1.8	2234	21074305	66873	0.00316316
