#weight	occ	cum	dcum	dCDF
-15.1	130035	35145775	7266616	0.171859
-15	132379	35278154	7136581	0.168784
-14.9	127007	35405161	7004202	0.165653
-14.8	128352	35533513	6877195	0.162649
-14.7	125427	35658940	6748843	0.159614
-14.6	124693	35783633	6623416	0.156647
-14.5	124206	35907839	6498723	0.153698
-14.4	116411	36024250	6374517	0.150761
-14.3	115559	36139809	6258106	0.148008
-14.2	110194	36250003	6142547	0.145274
-14.1	108267	36358270	6032353	0.142668
-14	105627	36463897	5924086	0.140108
-13.9	104241	36568138	5818459	0.13761
-13.8	98629	36666767	5714218	0.135144
-13.7	99444	36766211	5615589	0.132812
-13.6	97288	36863499	5516145	0.13046
-13.5	91459	36954958	5418857	0.128159
-13.4	88966	37043924	5327398	0.125996
-13.3	88885	37132809	5238432	0.123892
-13.2	86797	37219606	5149547	0.12179
-13.1	86991	37306597	5062750	0.119737
-13	86716	37393313	4975759	0.117679
-12.9	83713	37477026	4889043	0.115628
-12.8	79558	37556584	4805330	0.113649
-12.7	77480	37634064	4725772	0.111767
-12.6	76710	37710774	4648292	0.109935
-12.5	75916	37786690	4571582	0.10812
-12.4	74301	37860991	4495666	0.106325
-12.3	71322	37932313	4421365	0.104568
-12.2	70274	38002587	4350043	0.102881
-12.1	70848	38073435	4279769	0.101219
-12	68242	38141677	4208921	0.0995432
-11.9	67544	38209221	4140679	0.0979292
-11.8	65254	38274475	4073135	0.0963318
-11.7	63996	38338471	4007881	0.0947885
-11.6	64239	38402710	3943885	0.093275
-11.5	65176	38467886	3879646	0.0917557
-11.4	61139	38529025	3814470	0.0902142
-11.3	58904	38587929	3753331	0.0887683
-11.2	59554	38647483	3694427	0.0873751
-11.1	57538	38705021	3634873	0.0859667
-11	56541	38761562	3577335	0.0846059
-10.9	59012	38820574	3520794	0.0832686
-10.8	57093	38877667	3461782	0.081873
-10.7	57633	38935300	3404689	0.0805227
-10.6	57374	38992674	3347056	0.0791596
-10.5	59371	39052045	3289682	0.0778027
-10.4	58741	39110786	3230311	0.0763986
-10.3	58545	39169331	3171570	0.0750093
-10.2	58505	39227836	3113025	0.0736247
-10.1	56467	39284303	3054520	0.072241
-10	59287	39343590	2998053	0.0709055
-9.9	56669	39400259	2938766	0.0695034
-9.8	58838	39459097	2882097	0.0681631
-9.7	59158	39518255	2823259	0.0667716
-9.6	58757	39577012	2764101	0.0653724
-9.5	58885	39635897	2705344	0.0639828
-9.4	58209	39694106	2646459	0.0625901
-9.3	57510	39751616	2588250	0.0612135
-9.2	57917	39809533	2530740	0.0598533
-9.1	57861	39867394	2472823	0.0584836
-9	54215	39921609	2414962	0.0571151
-8.9	53615	39975224	2360747	0.0558329
-8.8	54664	40029888	2307132	0.0545649
-8.7	54910	40084798	2252468	0.0532721
-8.6	52652	40137450	2197558	0.0519734
-8.5	52174	40189624	2144906	0.0507282
-8.4	50373	40239997	2092732	0.0494942
-8.3	49910	40289907	2042359	0.0483029
-8.2	104276	40394183	1992449	0.0471225
-8.1	51301	40445484	1888173	0.0446563
-8	51268	40496752	1836872	0.043443
-7.9	49045	40545797	1785604	0.0422305
-7.8	47041	40592838	1736559	0.0410705
-7.7	45520	40638358	1689518	0.039958
-7.6	45714	40684072	1643998	0.0388814
-7.5	46487	40730559	1598284	0.0378003
-7.4	42721	40773280	1551797	0.0367008
-7.3	43265	40816545	1509076	0.0356904
-7.2	39316	40855861	1465811	0.0346672
-7.1	38339	40894200	1426495	0.0337374
-7	39184	40933384	1388156	0.0328306
-6.9	38315	40971699	1348972	0.0319039
-6.8	37997	41009696	1310657	0.0309977
-6.7	35035	41044731	1272660	0.0300991
-6.6	32742	41077473	1237625	0.0292705
-6.5	31799	41109272	1204883	0.0284961
-6.4	29559	41138831	1173084	0.0277441
-6.3	29701	41168532	1143525	0.027045
-6.2	27983	41196515	1113824	0.0263425
-6.1	29144	41225659	1085841	0.0256807
-6	27618	41253277	1056697	0.0249914
-5.9	25976	41279253	1029079	0.0243383
