#score	occ	co	cco	dCDF
-36.3	37260	1515377	19625801	0.928321
-36.2	38417	1553794	19587384	0.926504
-36.1	38899	1592693	19548485	0.924664
-36	41068	1633761	19507417	0.922721
-35.9	40064	1673825	19467353	0.920826
-35.8	39500	1713325	19427853	0.918958
-35.7	40431	1753756	19387422	0.917045
-35.6	39479	1793235	19347943	0.915178
-35.5	41247	1834482	19306696	0.913227
-35.4	40743	1875225	19265953	0.9113
-35.3	40643	1915868	19225310	0.909377
-35.2	41579	1957447	19183731	0.907411
-35.1	42292	1999739	19141439	0.90541
-35	43746	2043485	19097693	0.903341
-34.9	42937	2086422	19054756	0.90131
-34.8	42070	2128492	19012686	0.89932
-34.7	43920	2172412	18968766	0.897243
-34.6	46847	2219259	18921919	0.895027
-34.5	45109	2264368	18876810	0.892893
-34.4	46813	2311181	18829997	0.890679
-34.3	45899	2357080	18784098	0.888508
-34.2	45479	2402559	18738619	0.886356
-34.1	47886	2450445	18690733	0.884091
-34	47659	2498104	18643074	0.881837
-33.9	49918	2548022	18593156	0.879476
-33.8	49697	2597719	18543459	0.877125
-33.7	50710	2648429	18492749	0.874727
-33.6	52134	2700563	18440615	0.872261
-33.5	52234	2752797	18388381	0.86979
-33.4	54143	2806940	18334238	0.867229
-33.3	53132	2860072	18281106	0.864716
-33.2	52729	2912801	18228377	0.862221
-33.1	53420	2966221	18174957	0.859695
-33	53877	3020098	18121080	0.857146
-32.9	53502	3073600	18067578	0.854615
-32.8	55967	3129567	18011611	0.851968
-32.7	55942	3185509	17955669	0.849322
-32.6	57465	3242974	17898204	0.846604
-32.5	56815	3299789	17841389	0.843917
-32.4	57669	3357458	17783720	0.841189
-32.3	60785	3418243	17722935	0.838314
-32.2	61435	3479678	17661500	0.835408
-32.1	62221	3541899	17599279	0.832464
-32	64233	3606132	17535046	0.829426
-31.9	62861	3668993	17472185	0.826453
-31.8	65086	3734079	17407099	0.823374
-31.7	65709	3799788	17341390	0.820266
-31.6	68446	3868234	17272944	0.817028
-31.5	70661	3938895	17202283	0.813686
-31.4	72368	4011263	17129915	0.810263
-31.3	101107	4112370	17028808	0.805481
-31.2	75924	4188294	16952884	0.801889
-31.1	75753	4264047	16877131	0.798306
-31	78429	4342476	16798702	0.794596
-30.9	76083	4418559	16722619	0.790998
-30.8	81781	4500340	16640838	0.787129
-30.7	79603	4579943	16561235	0.783364
-30.6	78463	4658406	16482772	0.779652
-30.5	79677	4738083	16403095	0.775884
-30.4	80190	4818273	16322905	0.772091
-30.3	79673	4897946	16243232	0.768322
-30.2	83196	4981142	16160036	0.764387
-30.1	82559	5063701	16077477	0.760482
-30	84456	5148157	15993021	0.756487
-29.9	84679	5232836	15908342	0.752481
-29.8	81756	5314592	15826586	0.748614
-29.7	83461	5398053	15743125	0.744666
-29.6	83862	5481915	15659263	0.7407
-29.5	82253	5564168	15577010	0.736809
-29.4	84977	5649145	15492033	0.732789
-29.3	85724	5734869	15406309	0.728735
-29.2	86596	5821465	15319713	0.724639
-29.1	88406	5909871	15231307	0.720457
-29	89289	5999160	15142018	0.716233
-28.9	89955	6089115	15052063	0.711978
-28.8	89093	6178208	14962970	0.707764
-28.7	89028	6267236	14873942	0.703553
-28.6	87218	6354454	14786724	0.699428
-28.5	87681	6442135	14699043	0.69528
-28.4	87648	6529783	14611395	0.691134
