#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.4	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.3	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.2	<NULL>	<NULL>	<NULL>	<NULL>	      1
-51.1	<NULL>	<NULL>	<NULL>	<NULL>	      1
-42.8	9.9e-01	1.00000	1.00000	0.987578	0.990911
-42.7	9.9e-01	1.00000	1.00000	0.987137	0.990554
-42.6	9.9e-01	1.00000	1.00000	0.986698	0.990182
-42.5	9.9e-01	1.00000	1.00000	0.9862	0.98981
-42.4	9.9e-01	1.00000	1.00000	0.985675	0.989426
-42.3	9.9e-01	1.00000	1.00000	0.985126	0.989021
-42.2	9.9e-01	1.00000	1.00000	0.984601	0.988615
-42.1	9.8e-01	1.00000	1.00000	0.984097	0.988213
-42	9.8e-01	1.00000	1.00000	0.983549	0.987771
-41.9	9.8e-01	1.00000	1.00000	0.983005	0.987333
-41.8	9.8e-01	1.00000	1.00000	0.982416	0.986869
-41.7	9.8e-01	1.00000	1.00000	0.981824	0.986392
-41.6	9.8e-01	1.00000	1.00000	0.981217	0.985902
-41.5	9.8e-01	1.00000	1.00000	0.980612	0.985438
-41.4	9.8e-01	1.00000	1.00000	0.980008	0.984926
-41.3	9.8e-01	1.00000	1.00000	0.979367	0.984428
-41.2	9.8e-01	1.00000	1.00000	0.978742	0.983911
-41.1	9.8e-01	1.00000	1.00000	0.9781	0.983364
-41	9.8e-01	1.00000	1.00000	0.977418	0.982797
-40.9	9.8e-01	1.00000	1.00000	0.976747	0.982227
-40.8	9.8e-01	1.00000	1.00000	0.976066	0.981611
-40.7	9.8e-01	1.00000	1.00000	0.975347	0.98097
-40.6	9.7e-01	1.00000	1.00000	0.974627	0.980326
-40.5	9.7e-01	1.00000	1.00000	0.97389	0.979689
-40.4	9.7e-01	1.00000	1.00000	0.973106	0.979028
-40.3	9.7e-01	1.00000	1.00000	0.972368	0.978347
-40.2	9.7e-01	1.00000	1.00000	0.971544	0.977638
-40.1	9.7e-01	1.00000	1.00000	0.970749	0.97693
-40	9.7e-01	1.00000	1.00000	0.969941	0.97619
-39.9	9.7e-01	1.00000	1.00000	0.969085	0.975395
-39.8	9.7e-01	1.00000	1.00000	0.968229	0.974628
-39.7	9.7e-01	1.00000	1.00000	0.967303	0.973858
-39.6	9.7e-01	1.00000	1.00000	0.966358	0.973094
-39.5	9.7e-01	1.00000	1.00000	0.965394	0.972316
-39.4	9.6e-01	1.00000	1.00000	0.964415	0.971463
-39.3	9.6e-01	1.00000	1.00000	0.963409	0.970596
-39.2	9.6e-01	1.00000	1.00000	0.96239	0.96968
-39.1	9.6e-01	1.00000	1.00000	0.961331	0.96877
-39	9.6e-01	1.00000	1.00000	0.960233	0.967785
-38.9	9.6e-01	1.00000	1.00000	0.959126	0.966804
-38.8	9.6e-01	1.00000	1.00000	0.958001	0.965778
-38.7	9.6e-01	1.00000	1.00000	0.95684	0.964726
-38.6	9.6e-01	1.00000	1.00000	0.9556	0.963597
-38.5	9.5e-01	1.00000	1.00000	0.95437	0.962495
-38.4	9.5e-01	1.00000	1.00000	0.953095	0.961326
-38.3	9.5e-01	1.00000	1.00000	0.951802	0.96012
-38.2	9.5e-01	1.00000	1.00000	0.950437	0.958839
-38.1	9.5e-01	1.00000	1.00000	0.949077	0.957588
-38	9.5e-01	1.00000	1.00000	0.947671	0.956234
-37.9	9.5e-01	1.00000	1.00000	0.946197	0.954895
-37.8	9.4e-01	1.00000	1.00000	0.944656	0.953519
-37.7	9.4e-01	1.00000	1.00000	0.94307	0.952122
-37.6	9.4e-01	1.00000	1.00000	0.941539	0.950676
-37.5	9.4e-01	1.00000	1.00000	0.939985	0.949224
-37.4	9.4e-01	1.00000	1.00000	0.938357	0.947753
-37.3	9.4e-01	1.00000	1.00000	0.936724	0.946241
-37.2	9.3e-01	1.00000	1.00000	0.935086	0.944735
-37.1	9.3e-01	1.00000	1.00000	0.933449	0.943173
-37	9.3e-01	1.00000	1.00000	0.931765	0.941554
-36.9	9.3e-01	1.00000	1.00000	0.930087	0.939947
-36.8	9.3e-01	1.00000	1.00000	0.928381	0.938311
-36.7	9.2e-01	1.00000	1.00000	0.92666	0.936632
-36.6	9.2e-01	1.00000	1.00000	0.924864	0.934936
-36.5	9.2e-01	1.00000	1.00000	0.923133	0.933249
-36.4	9.2e-01	1.00000	1.00000	0.921373	0.931536
