#score	occ	co	cco	dCDF
-19.9	67323	1961910	18834964	0.905663
-19.8	68537	2030447	18766427	0.902368
-19.7	70462	2100909	18695965	0.89898
-19.6	72328	2173237	18623637	0.895502
-19.5	73778	2247015	18549859	0.891954
-19.4	75606	2322621	18474253	0.888319
-19.3	76827	2399448	18397426	0.884625
-19.2	78497	2477945	18318929	0.88085
-19.1	80994	2558939	18237935	0.876956
-19	80771	2639710	18157164	0.873072
-18.9	83755	2723465	18073409	0.869045
-18.8	85307	2808772	17988102	0.864943
-18.7	86725	2895497	17901377	0.860772
-18.6	88240	2983737	17813137	0.85653
-18.5	90104	3073841	17723033	0.852197
-18.4	91529	3165370	17631504	0.847796
-18.3	93822	3259192	17537682	0.843285
-18.2	95101	3354293	17442581	0.838712
-18.1	96526	3450819	17346055	0.83407
-18	98469	3549288	17247586	0.829336
-17.9	100363	3649651	17147223	0.82451
-17.8	102064	3751715	17045159	0.819602
-17.7	103595	3855310	16941564	0.814621
-17.6	104678	3959988	16836886	0.809587
-17.5	106803	4066791	16730083	0.804452
-17.4	108224	4175015	16621859	0.799248
-17.3	109819	4284834	16512040	0.793967
-17.2	112558	4397392	16399482	0.788555
-17.1	112597	4509989	16286885	0.783141
-17	114312	4624301	16172573	0.777644
-16.9	116165	4740466	16056408	0.772059
-16.8	117202	4857668	15939206	0.766423
-16.7	118719	4976387	15820487	0.760715
-16.6	119918	5096305	15700569	0.754949
-16.5	122665	5218970	15577904	0.74905
-16.4	141894	5360864	15436010	0.742227
-16.3	124166	5485030	15311844	0.736257
-16.2	126001	5611031	15185843	0.730198
-16.1	126632	5737663	15059211	0.724109
-16	127603	5865266	14931608	0.717974
-15.9	128450	5993716	14803158	0.711797
-15.8	130623	6124339	14672535	0.705516
-15.7	131939	6256278	14540596	0.699172
-15.6	131598	6387876	14408998	0.692844
-15.5	134488	6522364	14274510	0.686378
-15.4	135140	6657504	14139370	0.67988
-15.3	135260	6792764	14004110	0.673376
-15.2	137466	6930230	13866644	0.666766
-15.1	137209	7067439	13729435	0.660168
-15	138306	7205745	13591129	0.653518
-14.9	139645	7345390	13451484	0.646803
-14.8	141595	7486985	13309889	0.639995
-14.7	141010	7627995	13168879	0.633214
-14.6	160528	7788523	13008351	0.625495
-14.5	142004	7930527	12866347	0.618667
-14.4	143417	8073944	12722930	0.611771
-14.3	144007	8217951	12578923	0.604847
-14.2	144096	8362047	12434827	0.597918
-14.1	142979	8505026	12291848	0.591043
-14	145298	8650324	12146550	0.584057
-13.9	146700	8797024	11999850	0.577003
-13.8	146297	8943321	11853553	0.569968
-13.7	146432	9089753	11707121	0.562927
-13.6	146316	9236069	11560805	0.555891
-13.5	147168	9383237	11413637	0.548815
-13.4	145969	9529206	11267668	0.541796
-13.3	146961	9676167	11120707	0.53473
-13.2	145817	9821984	10974890	0.527718
-13.1	146928	9968912	10827962	0.520653
-13	147496	10116408	10680466	0.513561
