; matrix-distrib  -v 1 -m $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_matrix.tab -matrix_format tab -pseudo 1 -bgfile $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab -bg_format inclusive -bg_pseudo 0.01 -decimals 1 -o $RSAT/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_theor_score_distrib.tab
; Input files
;	bgfile	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/matrix-quality_2014-09-05.2358412nt_upstream-noorf_Canis_familiaris_EnsEMBL-ovlp-1str.freq.gz_inclusive.tab
; Output files
;	output	/home/rsat/rsat/public_html/tmp/wwwrun/2014/09/05/matrix-quality_2014-09-05.235841_QFnNnl/do562plusdo732_mmus_hnf4a_liver_meme_top_m1/matrix-quality_2014-09-05.235841_do562plusdo732_mmus_hnf4a_liver_meme_top_m1_theor_score_distrib.tab
; Background model
;	Markov order  	1
;	Strand        	undef
;	Background pseudo-frequency	0.01
;	Residue probabilities
;		a	0.26457
;		c	0.23303
;		g	0.23983
;		t	0.26257
;
; Matrix: matrix-quality_2014-09-05
;
; Theoretical distribution of weight probabilities
;	1	weight      	log-likelihood score: w=P(S|M)/P(S|B)
;	2	proba       	probability density function: P(W=w)
;	3	cum         	cumulative density function: P(W <= w)
;	4	Pval        	P-value = inverse cumulative density function: Pval = P(W >= w)
;	5	ln_Pval     	natural logarithm of the P-value
;	6	log_P       	base 10 logarithm of the P-value
;	7	sig         	significance: sig = -log10(Pval)
#weight	proba	cum	Pval	ln_Pval	log_P	sig
-29.4	2.9e-05	2.6e-04	1.0e+00	-0.000	-0	0.000
-29.3	2.5e-05	2.9e-04	1.0e+00	-0.000	-0	0.000
-29.2	3.1e-05	3.2e-04	1.0e+00	-0.000	-0	0.000
-29.1	3.7e-05	3.6e-04	1.0e+00	-0.000	-0	0.000
-29.0	3.3e-05	3.9e-04	1.0e+00	-0.000	-0	0.000
-28.9	4.4e-05	4.3e-04	1.0e+00	-0.000	-0	0.000
-28.8	4.4e-05	4.8e-04	1.0e+00	-0.000	-0	0.000
-28.7	4.2e-05	5.2e-04	1.0e+00	-0.000	-0	0.000
-28.6	5.6e-05	5.7e-04	1.0e+00	-0.001	-0	0.000
-28.5	4.9e-05	6.2e-04	1.0e+00	-0.001	-0	0.000
-28.4	6.5e-05	6.9e-04	1.0e+00	-0.001	-0	0.000
-28.3	5.8e-05	7.5e-04	1.0e+00	-0.001	-0	0.000
-28.2	7.0e-05	8.2e-04	1.0e+00	-0.001	-0	0.000
-28.1	8.3e-05	9.0e-04	1.0e+00	-0.001	-0	0.000
-28.0	7.3e-05	9.7e-04	1.0e+00	-0.001	-0	0.000
-27.9	9.4e-05	1.1e-03	1.0e+00	-0.001	-0	0.000
-27.8	9.3e-05	1.2e-03	1.0e+00	-0.001	-0	0.000
-27.7	9.0e-05	1.2e-03	1.0e+00	-0.001	-0.001	0.001
-27.6	1.2e-04	1.4e-03	1.0e+00	-0.001	-0.001	0.001
-27.5	1.0e-04	1.5e-03	1.0e+00	-0.001	-0.001	0.001
-27.4	1.4e-04	1.6e-03	1.0e+00	-0.001	-0.001	0.001
-27.3	1.2e-04	1.7e-03	1.0e+00	-0.002	-0.001	0.001
-27.2	1.4e-04	1.9e-03	1.0e+00	-0.002	-0.001	0.001
-27.1	1.7e-04	2.0e-03	1.0e+00	-0.002	-0.001	0.001
-27.0	1.4e-04	2.2e-03	1.0e+00	-0.002	-0.001	0.001
-26.9	1.9e-04	2.4e-03	1.0e+00	-0.002	-0.001	0.001
-26.8	1.8e-04	2.6e-03	1.0e+00	-0.002	-0.001	0.001
-26.7	1.8e-04	2.7e-03	1.0e+00	-0.003	-0.001	0.001
-26.6	2.3e-04	3.0e-03	1.0e+00	-0.003	-0.001	0.001
-26.5	2.0e-04	3.2e-03	1.0e+00	-0.003	-0.001	0.001
-26.4	2.6e-04	3.4e-03	1.0e+00	-0.003	-0.001	0.001
-26.3	2.2e-04	3.6e-03	1.0e+00	-0.003	-0.001	0.001
-26.2	2.6e-04	3.9e-03	1.0e+00	-0.004	-0.002	0.002
-26.1	3.1e-04	4.2e-03	1.0e+00	-0.004	-0.002	0.002
-26.0	2.7e-04	4.5e-03	1.0e+00	-0.004	-0.002	0.002
-25.9	3.4e-04	4.8e-03	1.0e+00	-0.004	-0.002	0.002
-25.8	3.3e-04	5.1e-03	1.0e+00	-0.005	-0.002	0.002
-25.7	3.1e-04	5.5e-03	9.9e-01	-0.005	-0.002	0.002
-25.6	4.1e-04	5.9e-03	9.9e-01	-0.005	-0.002	0.002
-25.5	3.5e-04	6.2e-03	9.9e-01	-0.006	-0.003	0.003
-25.4	4.5e-04	6.7e-03	9.9e-01	-0.006	-0.003	0.003
-25.3	3.9e-04	7.1e-03	9.9e-01	-0.007	-0.003	0.003
-25.2	4.5e-04	7.5e-03	9.9e-01	-0.007	-0.003	0.003
-25.1	5.3e-04	8.0e-03	9.9e-01	-0.008	-0.003	0.003
-25.0	4.5e-04	8.5e-03	9.9e-01	-0.008	-0.004	0.004
-24.9	5.8e-04	9.1e-03	9.9e-01	-0.009	-0.004	0.004
-24.8	5.6e-04	9.6e-03	9.9e-01	-0.009	-0.004	0.004
-24.7	5.3e-04	1.0e-02	9.9e-01	-0.010	-0.004	0.004
-24.6	6.7e-04	1.1e-02	9.9e-01	-0.010	-0.004	0.004
-24.5	5.8e-04	1.1e-02	9.9e-01	-0.011	-0.005	0.005
-24.4	7.4e-04	1.2e-02	9.9e-01	-0.011	-0.005	0.005
-24.3	6.3e-04	1.3e-02	9.9e-01	-0.012	-0.005	0.005
-24.2	7.3e-04	1.3e-02	9.9e-01	-0.013	-0.006	0.006
-24.1	8.4e-04	1.4e-02	9.9e-01	-0.014	-0.006	0.006
-24.0	7.2e-04	1.5e-02	9.9e-01	-0.014	-0.006	0.006
-23.9	9.2e-04	1.6e-02	9.8e-01	-0.015	-0.007	0.007
-23.8	8.7e-04	1.7e-02	9.8e-01	-0.016	-0.007	0.007
-23.7	8.2e-04	1.8e-02	9.8e-01	-0.017	-0.007	0.007
-23.6	1.0e-03	1.9e-02	9.8e-01	-0.018	-0.008	0.008
-23.5	8.9e-04	2.0e-02	9.8e-01	-0.019	-0.008	0.008
-23.4	1.1e-03	2.1e-02	9.8e-01	-0.020	-0.009	0.009
-23.3	9.6e-04	2.2e-02	9.8e-01	-0.021	-0.009	0.009
-23.2	1.1e-03	2.3e-02	9.8e-01	-0.022	-0.01	0.010
-23.1	1.3e-03	2.4e-02	9.8e-01	-0.023	-0.01	0.010
