#score	occ	co	cco	dCDF
-18.3	93866	2936169	17860705	0.858817
-18.2	95411	3031580	17765294	0.854229
-18.1	97796	3129376	17667498	0.849527
-18	99342	3228718	17568156	0.84475
-17.9	101681	3330399	17466475	0.839861
-17.8	102326	3432725	17364149	0.83494
-17.7	105106	3537831	17259043	0.829886
-17.6	106170	3644001	17152873	0.824781
-17.5	108165	3752166	17044708	0.81958
-17.4	110210	3862376	16934498	0.814281
-17.3	112492	3974868	16822006	0.808872
-17.2	114736	4089604	16707270	0.803355
-17.1	116010	4205614	16591260	0.797777
-17	117660	4323274	16473600	0.792119
-16.9	119068	4442342	16354532	0.786394
-16.8	120961	4563303	16233571	0.780577
-16.7	123197	4686500	16110374	0.774654
-16.6	124801	4811301	15985573	0.768653
-16.5	126226	4937527	15859347	0.762583
-16.4	146348	5083875	15712999	0.755546
-16.3	129096	5212971	15583903	0.749339
-16.2	131508	5344479	15452395	0.743015
-16.1	132796	5477275	15319599	0.73663
-16	133473	5610748	15186126	0.730212
-15.9	136119	5746867	15050007	0.723667
-15.8	137195	5884062	14912812	0.71707
-15.7	137526	6021588	14775286	0.710457
-15.6	140230	6161818	14635056	0.703714
-15.5	140166	6301984	14494890	0.696974
-15.4	142491	6444475	14352399	0.690123
-15.3	142669	6587144	14209730	0.683263
-15.2	144598	6731742	14065132	0.67631
-15.1	145335	6877077	13919797	0.669322
-15	146975	7024052	13772822	0.662254
-14.9	147905	7171957	13624917	0.655143
-14.8	147475	7319432	13477442	0.648051
-14.7	150387	7469819	13327055	0.64082
-14.6	168499	7638318	13158556	0.632718
-14.5	152232	7790550	13006324	0.625398
-14.4	152389	7942939	12853935	0.618071
-14.3	152189	8095128	12701746	0.610753
-14.2	153161	8248289	12548585	0.603388
-14.1	154489	8402778	12394096	0.59596
-14	153984	8556762	12240112	0.588555
-13.9	154702	8711464	12085410	0.581117
-13.8	154882	8866346	11930528	0.573669
-13.7	154540	9020886	11775988	0.566238
-13.6	155721	9176607	11620267	0.558751
-13.5	156313	9332920	11463954	0.551234
-13.4	156159	9489079	11307795	0.543726
-13.3	156244	9645323	11151551	0.536213
-13.2	156159	9801482	10995392	0.528704
-13.1	156189	9957671	10839203	0.521194
-13	155298	10112969	10683905	0.513726
-12.9	154981	10267950	10528924	0.506274
-12.8	156813	10424763	10372111	0.498734
-12.7	154550	10579313	10217561	0.491303
-12.6	155545	10734858	10062016	0.483823
-12.5	154715	10889573	9907301	0.476384
-12.4	155266	11044839	9752035	0.468918
-12.3	155579	11200418	9596456	0.461437
-12.2	154539	11354957	9441917	0.454007
-12.1	153026	11507983	9288891	0.446648
-12	152855	11660838	9136036	0.439299
-11.9	151949	11812787	8984087	0.431992
-11.8	152457	11965244	8831630	0.424661
-11.7	150609	12115853	8681021	0.41742
-11.6	150243	12266096	8530778	0.410195
-11.5	149544	12415640	8381234	0.403005
-11.4	148540	12564180	8232694	0.395862
-11.3	146962	12711142	8085732	0.388796
-11.2	146741	12857883	7938991	0.38174
-11.1	145734	13003617	7793257	0.374732
-11	144833	13148450	7648424	0.367768
-10.9	144140	13292590	7504284	0.360837
-10.8	143060	13435650	7361224	0.353958
-10.7	141428	13577078	7219796	0.347158
-10.6	142135	13719213	7077661	0.340323
-10.5	138179	13857392	6939482	0.333679
-10.4	138048	13995440	6801434	0.327041
-10.3	136887	14132327	6664547	0.320459
-10.2	134699	14267026	6529848	0.313982
-10.1	133666	14400692	6396182	0.307555
-10	132983	14533675	6263199	0.301161
-9.9	131554	14665229	6131645	0.294835
-9.8	129156	14794385	6002489	0.288625
-9.7	128157	14922542	5874332	0.282462
-9.6	126645	15049187	5747687	0.276373
-9.5	125202	15174389	5622485	0.270352
-9.4	124313	15298702	5498172	0.264375
-9.3	123381	15422083	5374791	0.258442
-9.2	121371	15543454	5253420	0.252606
-9.1	120332	15663786	5133088	0.24682
-9	118788	15782574	5014300	0.241108
-8.9	116546	15899120	4897754	0.235504
-8.8	115447	16014567	4782307	0.229953
-8.7	113396	16127963	4668911	0.224501
-8.6	112114	16240077	4556797	0.21911
-8.5	110471	16350548	4446326	0.213798
-8.4	108804	16459352	4337522	0.208566
-8.3	107234	16566586	4230288	0.20341
-8.2	105326	16671912	4124962	0.198345
-8.1	103812	16775724	4021150	0.193354
-8	102717	16878441	3918433	0.188415
-7.9	100405	16978846	3818028	0.183587
-7.8	99141	17077987	3718887	0.17882
-7.7	97453	17175440	3621434	0.174134
-7.6	95838	17271278	3525596	0.169525
-7.5	93611	17364889	3431985	0.165024
-7.4	92587	17457476	3339398	0.160572
-7.3	90614	17548090	3248784	0.156215
-7.2	89133	17637223	3159651	0.151929
-7.1	86969	17724192	3072682	0.147747
-7	85055	17809247	2987627	0.143658
-6.9	83425	17892672	2904202	0.139646
-6.8	84034	17976706	2820168	0.135605
-6.7	80190	18056896	2739978	0.13175
-6.6	79277	18136173	2660701	0.127938
-6.5	77362	18213535	2583339	0.124218
-6.4	75642	18289177	2507697	0.12058
-6.3	74038	18363215	2433659	0.11702
-6.2	72596	18435811	2361063	0.11353
-6.1	70851	18506662	2290212	0.110123
-6	69472	18576134	2220740	0.106782
-5.9	68555	18644689	2152185	0.103486
-5.8	66271	18710960	2085914	0.100299
-5.7	64907	18775867	2021007	0.0971784
-5.6	63507	18839374	1957500	0.0941247
-5.5	62061	18901435	1895439	0.0911406
-5.4	60833	18962268	1834606	0.0882155
-5.3	58806	19021074	1775800	0.0853878
-5.2	57381	19078455	1718419	0.0826287
-5.1	56003	19134458	1662416	0.0799359
-5	54456	19188914	1607960	0.0773174
-4.9	53959	19242873	1554001	0.0747228
-4.8	52093	19294966	1501908	0.072218
-4.7	50742	19345708	1451166	0.0697781
-4.6	49673	19395381	1401493	0.0673896
-4.5	47587	19442968	1353906	0.0651014
-4.4	46848	19489816	1307058	0.0628488
-4.3	45607	19535423	1261451	0.0606558
-4.2	44841	19580264	1216610	0.0584997
-4.1	43074	19623338	1173536	0.0564285
-4	41844	19665182	1131692	0.0544164
-3.9	40804	19705986	1090888	0.0524544
-3.8	39920	19745906	1050968	0.0505349
-3.7	38465	19784371	1012503	0.0486853
-3.6	37463	19821834	975040	0.046884
-3.5	36293	19858127	938747	0.0451389
-3.4	34965	19893092	903782	0.0434576
-3.3	33674	19926766	870108	0.0418384
-3.2	33239	19960005	836869	0.0402401
-3.1	31962	19991967	804907	0.0387033
-3	31458	20023425	773449	0.0371906
-2.9	30287	20053712	743162	0.0357343
-2.8	29228	20082940	713934	0.0343289
-2.7	28447	20111387	685487	0.0329611
-2.6	27222	20138609	658265	0.0316521
-2.5	26284	20164893	631981	0.0303883
-2.4	25719	20190612	606262	0.0291516
-2.3	24807	20215419	581455	0.0279588
-2.2	23880	20239299	557575	0.0268105
-2.1	22967	20262266	534608	0.0257062
-2	22379	20284645	512229	0.0246301
-1.9	22178	20306823	490051	0.0235637
-1.8	20738	20327561	469313	0.0225665
-1.7	19811	20347372	449502	0.0216139
-1.6	19280	20366652	430222	0.0206869
-1.5	18577	20385229	411645	0.0197936
-1.4	17802	20403031	393843	0.0189376
-1.3	17598	20420629	376245	0.0180914
-1.2	18275	20438904	357970	0.0172127
-1.1	16005	20454909	341965	0.0164431
-1	15243	20470152	326722	0.0157101
-0.9	14741	20484893	311981	0.0150013
-0.8	14359	20499252	297622	0.0143109
-0.7	13889	20513141	283733	0.0136431
-0.6	13112	20526253	270621	0.0130126
-0.5	12939	20539192	257682	0.0123904
-0.4	12311	20551503	245371	0.0117985
-0.3	11662	20563165	233709	0.0112377
-0.2	11234	20574399	222475	0.0106975
-0.1	10935	20585334	211540	0.0101717
0	10404	20595738	201136	0.00967145
0.1	9915	20605653	191221	0.0091947
0.2	9761	20615414	181460	0.00872535
0.3	9083	20624497	172377	0.0082886
0.4	8677	20633174	163700	0.00787138
0.5	8239	20641413	155461	0.00747521
0.6	7978	20649391	147483	0.00709159
0.7	7804	20657195	139679	0.00671635
0.8	7590	20664785	132089	0.00635139
0.9	6982	20671767	125107	0.00601566
1	6511	20678278	118596	0.00570259
1.1	6422	20684700	112174	0.00539379
1.2	6119	20690819	106055	0.00509956
1.3	5749	20696568	100306	0.00482313
1.4	5535	20702103	94771	0.00455698
1.5	5242	20707345	89529	0.00430493
1.6	4832	20712177	84697	0.00407258
1.7	4730	20716907	79967	0.00384515
1.8	4452	20721359	75515	0.00363107
1.9	4290	20725649	71225	0.00342479
2	4104	20729753	67121	0.00322746
2.1	3854	20733607	63267	0.00304214
2.2	3587	20737194	59680	0.00286966
2.3	3570	20740764	56110	0.002698
2.4	3506	20744270	52604	0.00252942
2.5	3122	20747392	49482	0.0023793
2.6	3004	20750396	46478	0.00223486
2.7	2878	20753274	43600	0.00209647
2.8	2683	20755957	40917	0.00196746
