#key	theor	matrix_sites_cv_loo	matrix_sites	sequence_set1	sequence_set1_2perm
-51.9	1.0e+00	<NULL>	<NULL>	1	<NULL>
-43.4	9.9e-01	1.00000	1.00000	0.99446	0.996988
-43.3	9.9e-01	1.00000	1.00000	0.994142	0.996764
-43.2	9.9e-01	1.00000	1.00000	0.99382	0.996537
-43.1	9.9e-01	1.00000	1.00000	0.993492	0.996296
-43	9.9e-01	1.00000	1.00000	0.993131	0.996034
-42.9	9.9e-01	1.00000	1.00000	0.992797	0.995737
-42.8	9.9e-01	1.00000	1.00000	0.99239	0.995433
-42.7	9.9e-01	1.00000	1.00000	0.992011	0.995122
-42.6	9.9e-01	1.00000	1.00000	0.991653	0.994804
-42.5	9.9e-01	1.00000	1.00000	0.991255	0.994469
-42.4	9.9e-01	1.00000	1.00000	0.990873	0.994128
-42.3	9.9e-01	1.00000	1.00000	0.990461	0.993787
-42.2	9.9e-01	1.00000	1.00000	0.990026	0.993427
-42.1	9.9e-01	1.00000	1.00000	0.989605	0.993075
-42	9.9e-01	1.00000	1.00000	0.989161	 0.9927
-41.9	9.9e-01	1.00000	1.00000	0.988721	0.992302
-41.8	9.9e-01	1.00000	1.00000	0.988275	0.991859
-41.7	9.9e-01	1.00000	1.00000	0.987758	0.991423
-41.6	9.9e-01	1.00000	1.00000	0.987295	0.990984
-41.5	9.9e-01	1.00000	1.00000	0.986772	0.990519
-41.4	9.9e-01	1.00000	1.00000	0.986266	0.990057
-41.3	9.8e-01	1.00000	1.00000	0.985736	0.989588
-41.2	9.8e-01	1.00000	1.00000	0.985192	0.989132
-41.1	9.8e-01	1.00000	1.00000	0.984667	0.988657
-41	9.8e-01	1.00000	1.00000	0.984126	0.988176
-40.9	9.8e-01	1.00000	1.00000	0.983612	0.987672
-40.8	9.8e-01	1.00000	1.00000	0.983091	0.987164
-40.7	9.8e-01	1.00000	1.00000	0.982565	0.98665
-40.6	9.8e-01	1.00000	1.00000	0.982067	0.986153
-40.5	9.8e-01	1.00000	1.00000	0.981503	0.985639
-40.4	9.8e-01	1.00000	1.00000	0.980962	0.985121
-40.3	9.8e-01	1.00000	1.00000	0.980452	0.984588
-40.2	9.8e-01	1.00000	1.00000	0.979914	0.984058
-40.1	9.8e-01	1.00000	1.00000	0.979381	0.983509
-40	9.8e-01	1.00000	1.00000	0.978833	0.982954
-39.9	9.8e-01	1.00000	1.00000	0.97826	0.982406
-39.8	9.8e-01	1.00000	1.00000	0.977711	0.981819
-39.7	9.8e-01	1.00000	1.00000	0.977115	0.981213
-39.6	9.7e-01	1.00000	1.00000	0.976488	0.98059
